sample_id,status,reason,page_count,compile_seconds,source_path,package,source_family,document_form,construct_tags,size_bucket,nonblank_lines,source_chars,sha256_source,sha256_pdf,corpus_dir
circuit_macros_circuit_macros_2cd6bf32,rejected,pdflatex_failed,0,0.1594107499695383,/usr/local/texlive/2026/texmf-dist/doc/latex/circuit-macros/doc/Circuit_macros.tex,circuit-macros,texlive_ctan_doc,paper_excerpt,citations_bibliography;custom_macros;footnotes;inline_math;multi_column;text_sectioning,medium,94,3018,033e01a96aa6ac56a7d2a24406d548b42a4e5e2dba12b083541dfd0164500fb8,,
bgteubner_tex_typographie_23d89707,rejected,pdflatex_failed,0,0.13689466600771993,/usr/local/texlive/2026/texmf-dist/doc/latex/bgteubner/tex_typographie.tex,bgteubner,texlive_ctan_doc,paper_excerpt,captions;citations_bibliography;crossrefs;display_math;figures_images;footnotes;inline_math;minipage_boxes;text_sectioning,large,430,18391,97efe6432de913118da89d3e4306413f2e8f1f0b6d03812eeb73cc201f5fe690,,
polski_sample_polski_74f07fb0,accepted,accepted,2,0.7210235830279998,/usr/local/texlive/2026/texmf-dist/doc/latex/polski/sample-polski.tex,polski,texlive_ctan_doc,math_short,captions;crossrefs;display_math;figures_images;fonts_symbols;inline_math;text_sectioning,medium,99,4902,ba31c4ef63ebd5006dfd0abef7d9ca71038868f92ed3cf28d69fd81d01eefcca,e838e9ed7a412be001ea8fd07e332650e89cbf5ac1ca4e117395c6d44447eb97,data/texlive_seed_smoke2/corpus/polski_sample_polski_74f07fb0
glosmathtools_sample_glosmathtools_fr_9608de6d,rejected,page_count_5,5,2.428673583024647,/usr/local/texlive/2026/texmf-dist/doc/latex/glosmathtools/sample_glosmathtools_fr.tex,glosmathtools,texlive_ctan_doc,math_short,custom_macros;display_math;fonts_symbols;footnotes;inline_math;lists;text_sectioning,medium,97,9591,3a70a2039cb4999da3b0efe6b8c7ca3d0158b8e75e0dbceee377f186a563dbcd,,
subfigure_test2_dd19f4ef,accepted,accepted,2,0.6316149170161225,/usr/local/texlive/2026/texmf-dist/doc/latex/subfigure/test2.tex,subfigure,texlive_ctan_doc,math_short,captions;crossrefs;custom_macros;display_math;figures_images;minipage_boxes,medium,83,2484,cddeb615345bdbab41006e0f04d1757dc5510a29825dcc66e3112d79b153f7af,815bdde18d0c4fa4b180af1f0e89152f46666d61ad5cca153ef64db1d5b96872,data/texlive_seed_smoke2/corpus/subfigure_test2_dd19f4ef
ntheorem_vn_test_e297521a,rejected,pdflatex_failed,0,0.3173302499926649,/usr/local/texlive/2026/texmf-dist/doc/latex/ntheorem-vn/test.tex,ntheorem-vn,texlive_ctan_doc,math_short,crossrefs;custom_macros;display_math;inline_math;text_sectioning;theorems_proofs,medium,65,2382,f5951635af374b928e6f5e31dd87ef47a1363be7e83d6dc171b0dae8ab1acaf5,,
autonum_test_autonum_f691b056,rejected,pdflatex_failed,0,0.28260129201225936,/usr/local/texlive/2026/texmf-dist/doc/latex/autonum/test-autonum.tex,autonum,texlive_ctan_doc,math_short,aligned_math;captions;crossrefs;custom_macros;display_math;figures_images;inline_math;lists;text_sectioning,large,374,13246,a1afddaa7342645036aedd6c64df1b5ec6e02ff1e2d74763fbbdfc517228196b,,
nag_nagdemo_1bbc2609,rejected,pdflatex_failed,0,0.30166591599117965,/usr/local/texlive/2026/texmf-dist/doc/latex/nag/nagdemo.tex,nag,texlive_ctan_doc,math_short,aligned_math;captions;crossrefs;display_math;figures_images;footnotes;inline_math;minipage_boxes;text_sectioning,medium,140,4484,0c55acfa54900339354504a61ff1248be52839cf81c3cb98f82307039f465deb,,
minutes_sample_cc1d184f,rejected,pdflatex_failed,0,0.46159670798806474,/usr/local/texlive/2026/texmf-dist/doc/latex/minutes/Sample.tex,minutes,texlive_ctan_doc,math_short,custom_macros;display_math;inline_math;text_sectioning,medium,69,2507,c1fe312183306efa374e86d0dd88728a73403aaf31fb2593f4994365ac5bbf83,,
xtufte_sample_book_211ac8eb,rejected,pdflatex_failed,0,0.13528554199729115,/usr/local/texlive/2026/texmf-dist/doc/latex/xtufte/sample-book.tex,xtufte,texlive_ctan_doc,table,captions;citations_bibliography;color;complex_table;crossrefs;custom_environments;custom_macros;figures_images;fonts_symbols;footnotes;inline_math;lists;minipage_boxes;multi_column;simple_table;text_sectioning,large,1014,50666,ac55d2a35eef66689e6111bba1a7fd9ab1494f545e34c38447f451a0d32e2a49,,
