sample_id,category,source_split,selected_ai_stage,ai_final_compiled,reference_pages,ai_pages,page_count_match,pandoc_compile,tylax_compile,typetex_compile,source_comparison_pdf,source_pdf_page,report_page
10_compact_papers_004,10_compact_papers,heldout,v1,True,1,1,True,ok,ok,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,127,153
10_compact_papers_005,10_compact_papers,heldout,v2,True,2,2,True,ok,ok,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,128,154
10_compact_papers_006,10_compact_papers,heldout,v3,True,2,2,True,ok,ok,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,129,155
10_compact_papers_011,10_compact_papers,heldout,v3,True,1,1,True,ok,ok,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,130,156
10_compact_papers_012,10_compact_papers,heldout,v1,True,1,1,True,ok,ok,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,131,157
10_compact_papers_015,10_compact_papers,prompt_dev,v0,True,2,2,,failed,ok,failed,results/ai_latex_to_typst/documents/prompt_clean_v0_v1_v3_engine_comparison_grid.pdf,38,158
11_forms_cv_letters_001,11_forms_cv_letters,heldout,v1,True,3,3,True,ok,failed,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,133,160
11_forms_cv_letters_002,11_forms_cv_letters,prompt_dev,v0,True,2,3,,ok,failed,ok,results/ai_latex_to_typst/documents/prompt_clean_v0_v1_v3_engine_comparison_grid.pdf,42,161
11_forms_cv_letters_003,11_forms_cv_letters,heldout,v1,True,1,1,True,ok,ok,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,134,162
11_forms_cv_letters_004,11_forms_cv_letters,heldout,v1,True,1,1,True,ok,ok,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,135,163
11_forms_cv_letters_005,11_forms_cv_letters,heldout,v1,True,1,1,True,ok,ok,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,136,164
11_forms_cv_letters_006,11_forms_cv_letters,heldout,v1,True,1,1,True,ok,ok,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,137,165
11_forms_cv_letters_007,11_forms_cv_letters,prompt_dev,v0,True,1,1,,ok,ok,ok,results/ai_latex_to_typst/documents/prompt_clean_v0_v1_v3_engine_comparison_grid.pdf,40,166
11_forms_cv_letters_008,11_forms_cv_letters,heldout,v1,True,1,1,True,ok,ok,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,138,167
11_forms_cv_letters_009,11_forms_cv_letters,heldout,v1,True,1,1,True,ok,ok,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,139,168
11_forms_cv_letters_010,11_forms_cv_letters,prompt_dev,v0,True,1,1,,ok,ok,ok,results/ai_latex_to_typst/documents/prompt_clean_v0_v1_v3_engine_comparison_grid.pdf,41,169
