sample_id,category,selected_ai_stage,ai_final_compiled,ai_attempts_selected_stage,reference_pages,ai_pages,page_count_match,v1_final_compiled,v2_final_compiled,v3_final_compiled,pandoc_compile,tylax_compile,typetex_compile
06_tables_moderate_007,06_tables_moderate,v1,True,2,3,3,True,True,False,False,ok,ok,ok
06_tables_moderate_008,06_tables_moderate,v1,True,1,3,3,True,True,False,False,ok,ok,ok
06_tables_moderate_012,06_tables_moderate,v2,True,2,3,3,True,False,True,False,ok,ok,ok
06_tables_moderate_013,06_tables_moderate,v1,True,2,2,3,False,True,False,False,ok,ok,ok
06_tables_moderate_014,06_tables_moderate,v2,True,2,3,3,True,False,True,False,ok,ok,ok
06_tables_moderate_015,06_tables_moderate,v1,True,2,3,3,True,True,False,False,ok,ok,ok
06_tables_moderate_017,06_tables_moderate,v2,True,2,3,2,False,False,True,False,ok,ok,ok
06_tables_moderate_019,06_tables_moderate,v2,True,2,2,2,True,False,True,False,ok,ok,ok
06_tables_moderate_029,06_tables_moderate,v3,True,2,2,2,True,False,False,True,ok,ok,ok
06_tables_moderate_030,06_tables_moderate,,False,2,3,,False,False,False,False,ok,ok,ok
06_tables_moderate_031,06_tables_moderate,v2,True,2,2,3,False,False,True,False,ok,ok,ok
06_tables_moderate_033,06_tables_moderate,v3,True,2,3,1,False,False,False,True,ok,ok,ok
06_tables_moderate_034,06_tables_moderate,v1,True,1,3,2,False,True,False,False,ok,ok,ok
06_tables_moderate_035,06_tables_moderate,v1,True,1,2,3,False,True,False,False,ok,ok,ok
07_figures_captions_002,07_figures_captions,v1,True,1,1,1,True,True,False,False,ok,failed,ok
07_figures_captions_004,07_figures_captions,v1,True,1,1,1,True,True,False,False,ok,failed,ok
07_figures_captions_005,07_figures_captions,v1,True,1,1,1,True,True,False,False,ok,ok,ok
07_figures_captions_006,07_figures_captions,v2,True,2,1,1,True,False,True,False,ok,failed,ok
07_figures_captions_008,07_figures_captions,v1,True,2,1,1,True,True,False,False,ok,ok,ok
07_figures_captions_009,07_figures_captions,v1,True,1,1,1,True,True,False,False,ok,failed,ok
07_figures_captions_010,07_figures_captions,v1,True,1,1,1,True,True,False,False,ok,ok,ok
07_figures_captions_011,07_figures_captions,v1,True,1,1,1,True,True,False,False,ok,failed,ok
07_figures_captions_012,07_figures_captions,v1,True,2,1,1,True,True,False,False,ok,failed,ok
07_figures_captions_013,07_figures_captions,v1,True,1,1,1,True,True,False,False,ok,ok,ok
